"Name";"ReleaseDate";"Action";"Adventure";"Children";"Comedy";"Crime";"Documentary";"Drama";"Fantasy";"Noir";"Horror";"Musical";"Mystery";"Romance";"SciFi";"Thriller";"War";"Western";"AvgRating";"Watches"
"1";"Toy Story (1995)";1995;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4.15;2077
"2";"Jumanji (1995)";1995;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.2;701
"3";"Grumpier Old Men (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.02;478
"4";"Waiting to Exhale (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2.73;170
"5";"Father of the Bride Part II (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;296
"6";"Heat (1995)";1995;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;3.88;940
"7";"Sabrina (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3.41;458
"8";"Tom and Huck (1995)";1995;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.01;68
"9";"Sudden Death (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.66;102
"10";"GoldenEye (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.54;888
"11";"American President, The (1995)";1995;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;3.79;1033
"12";"Dracula: Dead and Loving It (1995)";1995;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2.36;160
"13";"Balto (1995)";1995;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.26;99
"14";"Nixon (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.54;153
"15";"Cutthroat Island (1995)";1995;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2.46;146
"16";"Casino (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3.79;682
"17";"Sense and Sensibility (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4.03;835
"18";"Four Rooms (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3.34;157
"19";"Ace Ventura: When Nature Calls (1995)";1995;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2.48;389
"20";"Money Train (1995)";1995;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.54;160
"21";"Get Shorty (1995)";1995;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;3.62;1356
"22";"Copycat (1995)";1995;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;3.35;378
"23";"Assassins (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2.86;126
"24";"Powder (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;3.18;624
"25";"Leaving Las Vegas (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3.65;980
"26";"Othello (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3.53;100
"27";"Now and Then (1995)";1995;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2.93;61
"28";"Persuasion (1995)";1995;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;4.06;179
"29";"City of Lost Children, The (1995)";1995;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4.06;403
